timestamp,open,high,low,close,volume
2025-08-31T17:00:00-05:00,6530.00,6537.75,6530.00,6537.75,3
2025-08-31T17:15:00-05:00,6539.00,6541.00,6538.50,6538.50,8
2025-08-31T17:30:00-05:00,6537.75,6538.25,6537.75,6538.25,3
2025-08-31T17:45:00-05:00,6541.50,6542.75,6541.50,6542.75,6
2025-08-31T18:00:00-05:00,6543.50,6545.25,6543.25,6543.25,4
2025-08-31T18:15:00-05:00,6543.25,6543.25,6543.25,6543.25,1
2025-08-31T19:00:00-05:00,6545.50,6545.50,6545.50,6545.50,1
2025-08-31T19:15:00-05:00,6544.50,6544.50,6543.00,6543.00,2
2025-08-31T19:30:00-05:00,6544.75,6544.75,6542.25,6542.25,3
2025-08-31T20:15:00-05:00,6542.25,6543.75,6542.25,6543.75,6
2025-08-31T20:30:00-05:00,6542.00,6543.00,6542.00,6543.00,2
2025-08-31T20:45:00-05:00,6541.25,6541.25,6539.75,6539.75,2
2025-08-31T21:00:00-05:00,6540.50,6540.50,6538.50,6538.50,2
2025-08-31T21:15:00-05:00,6532.00,6533.00,6531.50,6532.00,8
2025-08-31T21:30:00-05:00,6532.00,6533.00,6532.00,6533.00,4
2025-08-31T21:45:00-05:00,6530.75,6530.75,6530.75,6530.75,1
2025-08-31T22:00:00-05:00,6529.00,6535.00,6528.50,6535.00,16
2025-08-31T22:15:00-05:00,6533.75,6533.75,6524.75,6524.75,10
2025-08-31T22:30:00-05:00,6525.75,6526.75,6525.00,6526.75,3
2025-08-31T22:45:00-05:00,6527.75,6528.00,6527.25,6527.50,5
2025-08-31T23:00:00-05:00,6527.75,6527.75,6526.25,6526.75,3
2025-08-31T23:15:00-05:00,6525.75,6526.75,6525.25,6526.50,6
2025-08-31T23:30:00-05:00,6522.50,6522.50,6521.50,6521.50,12
2025-08-31T23:45:00-05:00,6527.00,6527.25,6527.00,6527.25,4
2025-09-01T00:00:00-05:00,6523.25,6523.25,6521.00,6521.00,3
2025-09-01T00:15:00-05:00,6524.25,6524.75,6524.25,6524.75,3
2025-09-01T00:30:00-05:00,6524.00,6525.25,6524.00,6525.25,2
2025-09-01T00:45:00-05:00,6523.25,6523.50,6523.25,6523.50,2
2025-09-01T01:00:00-05:00,6521.50,6521.50,6517.25,6518.75,31
2025-09-01T01:15:00-05:00,6517.00,6519.00,6515.25,6515.25,4
2025-09-01T01:30:00-05:00,6517.75,6528.25,6517.50,6528.25,9
2025-09-01T01:45:00-05:00,6528.00,6528.00,6528.00,6528.00,1
