timestamp,price,volume
2025-10-23T09:00:00.504579,4500.22,10
2025-10-23T09:00:10.504579,4497.07,2
2025-10-23T09:00:20.504579,4495.04,1
2025-10-23T09:00:30.504579,4499.63,9
2025-10-23T09:00:40.504579,4502.78,2
2025-10-23T09:00:50.504579,4497.90,8
2025-10-23T09:01:00.504579,4495.54,4
2025-10-23T09:01:10.504579,4500.74,9
2025-10-23T09:01:20.504579,4500.03,3
2025-10-23T09:01:30.504579,4504.28,8
2025-10-23T09:01:40.504579,4500.55,1
2025-10-23T09:01:50.504579,4499.41,5
2025-10-23T09:02:00.504579,4500.04,9
2025-10-23T09:02:10.504579,4501.81,5
2025-10-23T09:02:20.504579,4496.73,8
2025-10-23T09:02:30.504579,4497.35,2
2025-10-23T09:02:40.504579,4504.34,10
2025-10-23T09:02:50.504579,4500.60,2
2025-10-23T09:03:00.504579,4502.79,7
2025-10-23T09:03:10.504579,4502.74,2
2025-10-23T09:03:20.504579,4498.02,10
2025-10-23T09:03:30.504579,4499.76,2
2025-10-23T09:03:40.504579,4497.28,8
2025-10-23T09:03:50.504579,4501.58,1
2025-10-23T09:04:00.504579,4502.71,1
2025-10-23T09:04:10.504579,4504.12,9
2025-10-23T09:04:20.504579,4498.95,2
2025-10-23T09:04:30.504579,4504.92,8
2025-10-23T09:04:40.504579,4503.33,2
2025-10-23T09:04:50.504579,4496.18,5
2025-10-23T09:05:00.504579,4497.14,9
2025-10-23T09:05:10.504579,4501.95,5
2025-10-23T09:05:20.504579,4494.92,10
2025-10-23T09:05:30.504579,4499.08,4
2025-10-23T09:05:40.504579,4498.81,3
2025-10-23T09:05:50.504579,4494.39,8
2025-10-23T09:06:00.504579,4495.96,2
2025-10-23T09:06:10.504579,4498.00,1
2025-10-23T09:06:20.504579,4504.77,1
2025-10-23T09:06:30.504579,4496.02,8
2025-10-23T09:06:40.504579,4497.43,3
2025-10-23T09:06:50.504579,4502.49,9
2025-10-23T09:07:00.504579,4496.49,5
2025-10-23T09:07:10.504579,4503.97,4
2025-10-23T09:07:20.504579,4504.70,8
2025-10-23T09:07:30.504579,4502.99,6
2025-10-23T09:07:40.504579,4496.52,1
2025-10-23T09:07:50.504579,4503.82,10
2025-10-23T09:08:00.504579,4502.31,3
2025-10-23T09:08:10.504579,4497.81,3
2025-10-23T09:08:20.504579,4499.11,6
2025-10-23T09:08:30.504579,4502.58,3
2025-10-23T09:08:40.504579,4499.79,10
2025-10-23T09:08:50.504579,4498.30,10
2025-10-23T09:09:00.504579,4502.69,9
2025-10-23T09:09:10.504579,4495.84,4
2025-10-23T09:09:20.504579,4498.88,2
2025-10-23T09:09:30.504579,4496.76,1
2025-10-23T09:09:40.504579,4497.06,4
2025-10-23T09:09:50.504579,4495.85,1
2025-10-23T09:10:00.504579,4503.83,2
2025-10-23T09:10:10.504579,4503.32,5
2025-10-23T09:10:20.504579,4499.87,1
2025-10-23T09:10:30.504579,4495.84,1
2025-10-23T09:10:40.504579,4494.75,1
2025-10-23T09:10:50.504579,4497.90,6
2025-10-23T09:11:00.504579,4503.34,3
